supermarket,category,name,description,price,reference_price,reference_unit,insert_date
433463D95980C252B92C204E3655BB81,el_mercado_quesos_tierno,Mini enrrollados de queso Babybel pack de 5 unidades de 17 g.,,2.15,25.29,kg,2021-01-11 12:00:00
433463D95980C252B92C204E3655BB81,limpieza_y_hogar_menaje_hermeticos,"Hermético Redondo de Cristal BORGONOVO Igloo 2,5 L. - Transparente",,5.99,5.99,ud,2021-01-24 00:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,cuidado_facial_y_corporal_afeitado_y_cuidado_para_hombre,Espuma de afeitar piel sensible Deliplus leche de avena y vitamina E,Bote,0.99,0.33,100 ml,2020-08-05 04:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,charcuteria_y_quesos_jamon_serrano,Taquitos de jamón Incarlopsa,Pack-2,2.19,10.95,kg,2020-09-21 04:00:00
433463D95980C252B92C204E3655BB81,perfumeria_e_higiene_bano_e_higiene_corporal_desodorantes,Desodorante roll- on beauty elixir deomilk fresh Nivea 40 ml.,40 Ml.,2.4,6.0,100 ml,2020-10-25 00:00:00
433463D95980C252B92C204E3655BB81,perfumeria_e_higiene_cosmetica_ojos,Máscara de pestañas Miss Manga mega volumen black L'Oréal 1 ud.,,8.65,8.65,ud,2021-01-27 12:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,congelados_verdura,Patatas Dippers ultracongeladas,Paquete,1.49,2.98,kg,2020-11-24 12:00:00
ADCA3FE6444F01A88B191BBCD4249311,charcuteria_y_quesos_curado_chorizo,ELPOZO chorizo extra sobre 85 gr,,1.0,13.33,€/Kg.,2020-08-18 16:00:00
ADCA3FE6444F01A88B191BBCD4249311,perfumeria_e_higiene_cuidado_del_cabello_mascarillas_cabello,ELVIVE mascarilla rapid reviver aceite extraordinario tubo 300 ml,,3.75,12.5,€/l.,2021-01-26 12:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,aceite_especias_y_salsas_aceite_vinagre_y_sal,Sal 60% menos de sodio Hacendado,Bote,1.2,4.8,kg,2020-11-06 00:00:00
433463D95980C252B92C204E3655BB81,limpieza_y_hogar_productos_para_bano_wc,Colgador WC Fresh Ocean Carrefour 2 ud.,2 Ud.,1.79,0.9,ud,2020-12-07 00:00:00
433463D95980C252B92C204E3655BB81,la_despensa_dulce_y_desayuno_siropes_aromas_y_decoracion,Azúcar avainillado ecológico Vahiné 35 g.,35 G.,4.5,128.57,kg,2020-11-05 00:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,fitoterapia_y_parafarmacia_fitoterapia,Cápsulas t-sacia Deliplus,Caja,3.95,17.95,100 g,2020-11-12 00:00:00
433463D95980C252B92C204E3655BB81,perfumeria_e_higiene_cuidado_y_proteccion_corporal_piel,Crema hidratante revitalizadora de dia Pond's 50 ml.,50 Ml.,6.35,12.7,100 ml,2020-11-13 12:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,azucar_caramelos_y_chocolate_azucar_y_edulcorante,Azúcar moreno de caña Acor,Caja,1.78,1.78,kg,2020-09-27 00:05:00
